,decision_tree,knn,lightgbm,logistic_regression,random_forest,svm
accuracy,0.7166666666666667,0.6833333333333333,0.85,0.75,0.8166666666666667,0.7666666666666667
precision,0.5357142857142857,0.5,0.75,0.5909090909090909,0.6818181818181818,0.6
recall,0.7894736842105263,0.2631578947368421,0.7894736842105263,0.6842105263157895,0.7894736842105263,0.7894736842105263
f1,0.6382978723404255,0.3448275862068966,0.7692307692307692,0.6341463414634148,0.7317073170731707,0.6818181818181819
